# #(c) Patrick Heenan 
# #Extension (nm),	Extension (pN),	Count (N)
# 
4.4670437508e+01,-1.7006367302e+01,0.0000000000e+00
4.4868094311e+01,-1.7006367302e+01,0.0000000000e+00
4.5065751114e+01,-1.7006367302e+01,0.0000000000e+00
4.5263407917e+01,-1.7006367302e+01,0.0000000000e+00
4.5461064720e+01,-1.7006367302e+01,5.5000000000e+01
4.5658721523e+01,-1.7006367302e+01,0.0000000000e+00
4.5856378326e+01,-1.7006367302e+01,0.0000000000e+00
4.6054035130e+01,-1.7006367302e+01,0.0000000000e+00
4.6251691933e+01,-1.7006367302e+01,0.0000000000e+00
4.6449348736e+01,-1.7006367302e+01,0.0000000000e+00
4.6647005539e+01,-1.7006367302e+01,0.0000000000e+00
4.6844662342e+01,-1.7006367302e+01,0.0000000000e+00
4.7042319145e+01,-1.7006367302e+01,5.0000000000e+01
4.7239975948e+01,-1.7006367302e+01,0.0000000000e+00
4.7437632751e+01,-1.7006367302e+01,0.0000000000e+00
4.7635289555e+01,-1.7006367302e+01,0.0000000000e+00
4.7832946358e+01,-1.7006367302e+01,0.0000000000e+00
4.8030603161e+01,-1.7006367302e+01,0.0000000000e+00
4.8228259964e+01,-1.7006367302e+01,0.0000000000e+00
4.8425916767e+01,-1.7006367302e+01,0.0000000000e+00
4.8623573570e+01,-1.7006367302e+01,0.0000000000e+00
4.8821230373e+01,-1.7006367302e+01,0.0000000000e+00
4.9018887177e+01,-1.7006367302e+01,0.0000000000e+00
4.9216543980e+01,-1.7006367302e+01,1.7000000000e+01
4.9414200783e+01,-1.7006367302e+01,9.0000000000e+01
4.9611857586e+01,-1.7006367302e+01,7.0000000000e+00
4.9809514389e+01,-1.7006367302e+01,0.0000000000e+00
5.0007171192e+01,-1.7006367302e+01,3.6000000000e+01
5.0204827995e+01,-1.7006367302e+01,0.0000000000e+00
5.0402484798e+01,-1.7006367302e+01,0.0000000000e+00
5.0600141602e+01,-1.7006367302e+01,0.0000000000e+00
5.0797798405e+01,-1.7006367302e+01,0.0000000000e+00
5.0995455208e+01,-1.7006367302e+01,0.0000000000e+00
5.1193112011e+01,-1.7006367302e+01,0.0000000000e+00
5.1390768814e+01,-1.7006367302e+01,1.0400000000e+02
5.1588425617e+01,-1.7006367302e+01,0.0000000000e+00
5.1786082420e+01,-1.7006367302e+01,0.0000000000e+00
5.1983739223e+01,-1.7006367302e+01,0.0000000000e+00
5.2181396027e+01,-1.7006367302e+01,0.0000000000e+00
5.2379052830e+01,-1.7006367302e+01,0.0000000000e+00
5.2576709633e+01,-1.7006367302e+01,3.4000000000e+01
5.2774366436e+01,-1.7006367302e+01,0.0000000000e+00
5.2972023239e+01,-1.7006367302e+01,1.8000000000e+01
5.3169680042e+01,-1.7006367302e+01,0.0000000000e+00
5.3367336845e+01,-1.7006367302e+01,0.0000000000e+00
5.3564993649e+01,-1.7006367302e+01,0.0000000000e+00
5.3762650452e+01,-1.7006367302e+01,0.0000000000e+00
5.3960307255e+01,-1.7006367302e+01,5.5000000000e+01
