# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
7.7221617691e+00,4.1598832425e+01,3.4583407823e+01,4.8614257027e+01
7.7667985424e+00,4.1671772953e+01,3.4430995181e+01,4.8912550724e+01
7.8114353156e+00,4.1744799154e+01,3.4280614820e+01,4.9208983488e+01
7.8560720888e+00,4.1820696886e+01,3.4135881538e+01,4.9505512234e+01
7.9007088621e+00,4.1902252008e+01,3.4000436024e+01,4.9804067992e+01
7.9453456353e+00,4.1992250378e+01,3.3877938937e+01,5.0106561818e+01
7.9899824085e+00,4.2093477854e+01,3.3772060225e+01,5.0414895483e+01
8.0346191817e+00,4.2208720295e+01,3.3686464462e+01,5.0730976128e+01
8.0792559550e+00,4.2340717601e+01,3.3624751979e+01,5.1056683224e+01
8.1238927282e+00,4.2490047951e+01,3.3588040301e+01,5.1392055602e+01
8.1685295014e+00,4.2653620323e+01,3.3573023022e+01,5.1734217624e+01
8.2131662747e+00,4.2827926146e+01,3.3575895385e+01,5.2079956906e+01
8.2578030479e+00,4.3009456852e+01,3.3592891267e+01,5.2426022437e+01
8.3024398211e+00,4.3194703873e+01,3.3620283161e+01,5.2769124585e+01
8.3470765944e+00,4.3380158639e+01,3.3654375273e+01,5.3105942005e+01
8.3917133676e+00,4.3562312582e+01,3.3691490450e+01,5.3433134715e+01
8.4363501408e+00,4.3737657133e+01,3.3727951429e+01,5.3747362838e+01
8.4809869141e+00,4.3902683724e+01,3.3760056749e+01,5.4045310698e+01
8.5256236873e+00,4.4053893936e+01,3.3784062652e+01,5.4323725220e+01
8.5702604605e+00,4.4189134985e+01,3.3797483556e+01,5.4580786415e+01
8.6148972338e+00,4.4309475726e+01,3.3800997460e+01,5.4817953991e+01
8.6595340070e+00,4.4416508485e+01,3.3795855417e+01,5.5037161554e+01
8.7041707802e+00,4.4511825592e+01,3.3783396369e+01,5.5240254815e+01
8.7488075535e+00,4.4597019374e+01,3.3765074945e+01,5.5428963803e+01
8.7934443267e+00,4.4673682159e+01,3.3742474608e+01,5.5604889709e+01
8.8380810999e+00,4.4743406274e+01,3.3717306982e+01,5.5769505566e+01
8.8827178732e+00,4.4807784048e+01,3.3691398231e+01,5.5924169865e+01
8.9273546464e+00,4.4868407808e+01,3.3666663237e+01,5.6070152380e+01
8.9719914196e+00,4.4926882781e+01,3.3645070711e+01,5.6208694852e+01
9.0166281928e+00,4.4984677786e+01,3.3628225591e+01,5.6341129980e+01
9.0612649661e+00,4.5041822465e+01,3.3615940079e+01,5.6467704851e+01
9.1059017393e+00,4.5097943817e+01,3.3607520417e+01,5.6588367217e+01
9.1505385125e+00,4.5152668839e+01,3.3602251739e+01,5.6703085938e+01
9.1951752858e+00,4.5205624528e+01,3.3599426088e+01,5.6811822968e+01
